FRANKONIA GmbH BTA-H,,
SN: 030002H,,
Date of Cal.: 25.03.03,,
,,
,,
f [MHz],Antenna Factor [dB/m],
,3m,10m
0.15,20,20
29.99,20,20
30,27.8,27.12
32,27.75,26.4
34,26.52,25.21
36,25.89,24.18
38,24.86,23.09
40,23.9,22.24
45,21.47,20.56
50,18.66,17.77
55,16.5,15.45
60,14.35,13.04
65,12.24,10.97
70,10.16,9.33
75,8.8,8.16
80,7.72,7.08
90,6.64,6.03
95,6.62,6.29
100,6.83,6.8
105,7.3,7.25
110,7.98,7.79
115,8.57,8.42
120,9,8.87
125,9.25,9.31
130,9.47,9.56
135,9.6,9.55
140,9.67,9.4
145,9.67,9.22
150,9.57,9.04
160,8.82,8.38
170,10.91,9.84
180,13.75,13.8
190,13.69,13.36
200,13.87,13.04
210,13.59,12.75
220,13.13,12.23
230,12.62,11.75
240,12.13,11.2
250,11.8,11.05
260,11.83,11.17
270,12.09,11.28
280,12.59,11.58
290,13.03,12.38
300,13.29,12.84
310,13.92,13.44
320,14.35,13.84
330,14.98,14.54
340,15.12,14.62
350,15.3,14.73
360,15.46,15.29
370,15.6,14.87
380,15.9,15.1
390,16,15.19
400,15.97,15.23
425,16.01,15.53
450,16.35,15.98
475,16.41,16.05
500,17.72,17.11
525,18.11,17.74
550,18.25,17.46
575,18.48,18.02
600,19.02,18.63
625,19.39,18.93
650,20.27,19.93
700,20.68,20.75
725,21.32,21.52
750,21.56,21.88
775,21.92,22.15
800,22.44,21.79
825,22.25,21.89
850,22.62,22.16
875,23.23,23.04
900,23.33,23.2
925,23.49,23.62
950,23.5,23.79
975,23.35,24.11
1000,23.81,24.17
1050,,24.05
1100,,24.77
1150,,25.12
1200,,25.77
1250,,25.93
1300,,26.39
1350,,26.3
1400,,25.78
1450,,26.22
1500,,27.55
1550,,28.13
1600,,27.13
1650,,27.73
1700,,27.04
1750,,26.87
1800,,26.58
1900,,28
2000,,28
3000,,28
